job_id,OrderNo,OrderPos,Orderstate,ItemNo,SortPos,WorkPlaceNo,Start,End,Duration,LatestStartDate,StartsBeforeLSD,WithinGraceDays,PriorityGroup,IsUnlimitedMachine,IsOutsourcing,OutsourcingDelivery,BufferIndustrial,BufferReal,ReasonSelected,DurationReal,RecordType,IdleBeforeReal,IdleBefore
0093153-3,0093153,3,5,k.D.,999,000-0000,2025-11-14 07:00:00,2025-11-14 07:00:00,0,2025-05-07 10:25:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,0,60,0,0
ZR250666-001-2,ZR250666-001,2,3,k.D.,0,000-0002,2025-11-14 07:00:00,2025-11-27 14:00:00,7000,2025-11-05 11:05:00,False,False,2,True,False,,0,0,Past deadline (urgent) | Unlimited parallel window,4200,60,0,0
ZR250607-001-2,ZR250607-001,2,3,k.D.,0,000-0002,2025-11-14 07:00:00,2025-11-27 14:00:00,7000,2025-11-05 10:25:00,False,False,2,True,False,,0,0,Past deadline (urgent) | Unlimited parallel window,4200,60,0,0
0250611-3,0250611,3,3,k.D.,0,000-0002,2025-11-14 07:00:00,2025-12-04 14:00:00,10500,2026-01-21 13:55:00,True,True,2,True,False,,0,0,Has deadline on 21-01-2026 13:55 | Unlimited parallel window,6300,60,0,0
0176412-3,0176412,3,3,k.D.,0,000-0002,2025-11-14 07:00:00,2025-12-04 14:00:00,10500,2025-10-30 07:00:00,False,False,2,True,False,,0,0,Past deadline (urgent) | Unlimited parallel window,6300,60,0,0
ZZ250034-005-3,ZZ250034-005,3,3,k.D.,0,000-0002,2025-11-14 07:00:00,2025-11-27 14:00:00,7000,2025-10-29 07:00:00,False,False,2,True,False,,0,0,Past deadline (urgent) | Unlimited parallel window,4200,60,0,0
0236382-7,0236382,7,4,k.D.,0,000-0002,2025-11-14 07:00:00,2025-12-11 14:00:00,14000,2025-10-08 08:20:00,False,False,2,True,False,,0,0,Past deadline (urgent) | Unlimited parallel window,8400,60,0,0
ZR210563-001-2,ZR210563-001,2,3,k.D.,0,000-0002,2025-11-14 07:00:00,2025-11-27 14:00:00,7000,,,,2,True,False,,0,0,No deadline (priority/fit) | Unlimited parallel window,4200,60,0,0
0251688-4,0251688,4,3,k.D.,0,000-0002,2025-11-14 08:40:00,2025-11-28 08:40:00,7000,2025-11-18 08:28:00,True,True,2,True,False,,0,0,Has deadline on 18-11-2025 08:28 | Unlimited parallel window,4200,60,0,0
0249208-3,0249208,3,3,k.D.,0,000-0002,2025-11-17 10:00:00,2025-12-01 10:00:00,7000,2025-11-21 10:45:00,True,True,2,True,False,,0,0,Has deadline on 21-11-2025 10:45 | Unlimited parallel window,4200,60,0,0
ZR250617-001-3,ZR250617-001,3,3,k.D.,0,000-0002,2025-11-17 10:30:00,2026-01-09 10:30:00,21000,2025-12-03 10:55:00,True,True,2,True,False,,0,0,Has deadline on 03-12-2025 10:55 | Unlimited parallel window,12600,60,0,0
ZZ250034-002-4,ZZ250034-002,4,3,k.D.,0,000-0002,2025-11-17 10:30:00,2025-12-01 10:30:00,7000,2025-10-20 13:30:00,False,False,2,True,False,,0,0,Past deadline (urgent) | Unlimited parallel window,4200,60,0,0
ZR250538-001-12,ZR250538-001,12,3,k.D.,0,000-0002,2025-11-18 07:00:00,2025-12-01 14:00:00,7000,2025-11-18 10:45:00,True,True,2,True,False,,0,0,Imminent deadline (<1 day) | Unlimited parallel window,4200,60,0,0
0244872-3,0244872,3,3,k.D.,0,000-0002,2025-11-18 09:20:00,2025-12-02 09:20:00,7000,2025-12-12 10:55:00,True,True,2,True,False,,0,0,Has deadline on 12-12-2025 10:55 | Unlimited parallel window,4200,60,0,0
ZR250565-001-3,ZR250565-001,3,3,k.D.,0,000-0002,2025-11-20 10:20:00,2025-12-11 12:00:00,10667,2025-11-11 14:26:00,False,False,2,True,False,,0,0,Past deadline (urgent) | Unlimited parallel window,6400,60,0,0
PU250364-001-4,PU250364-001,4,3,k.D.,0,000-0002,2025-11-21 07:00:00,2025-11-27 14:00:00,3500,2025-11-17 08:40:00,False,False,2,True,False,,0,0,Past deadline (urgent) | Unlimited parallel window,2100,60,0,0
PK200002-055-4,PK200002-055,4,3,k.D.,0,000-0002,2025-11-24 07:00:00,2025-11-28 14:00:00,3500,2025-11-26 07:30:00,True,True,2,True,False,,0,0,Upcoming deadline (<3 days) | Unlimited parallel window,2100,60,0,0
ZR250537-001-10,ZR250537-001,10,3,k.D.,0,000-0002,2025-12-02 07:00:00,2025-12-15 14:00:00,7000,2025-12-15 10:45:00,True,True,2,True,False,,0,0,Has deadline on 15-12-2025 10:45 | Unlimited parallel window,4200,60,0,0
ZZ250036-001-11,ZZ250036-001,11,5,k.D.,999,000-0002,2025-12-19 07:20:00,2026-01-29 07:20:00,14000,2025-10-27 11:55:00,False,False,2,True,False,,0,0,Past deadline (urgent) | Unlimited parallel window,8400,60,0,0
0203883-3,0203883,3,3,k.D.,0,000-0002,2025-12-22 13:08:00,2026-01-26 07:48:00,10667,2025-10-08 13:35:00,False,False,2,True,False,,0,0,Past deadline (urgent) | Unlimited parallel window,6400,60,0,0
0215425-3,0215425,3,3,k.D.,0,000-0002,2026-01-14 10:15:00,2026-02-04 10:15:00,10500,2025-10-14 07:00:00,False,False,2,True,False,,0,0,Past deadline (urgent) | Unlimited parallel window,6300,60,0,0
ZR250635-001-5,ZR250635-001,5,3,k.D.,0,000-0002,2026-01-23 07:00:00,2026-02-13 08:40:00,10667,2026-01-26 08:50:00,True,True,2,True,False,,0,0,Has deadline on 26-01-2026 08:50 | Unlimited parallel window,6400,60,0,0
ZR250500-M-001-5,ZR250500-M-001,5,3,k.D.,0,000-0002,2026-01-28 07:50:00,2026-02-11 07:50:00,7000,2026-01-05 10:45:00,False,False,2,True,False,,0,0,Past deadline (urgent) | Unlimited parallel window,4200,60,0,0
0215427-3,0215427,3,3,k.D.,0,000-0002,2026-02-18 10:15:00,2026-03-11 10:15:00,10500,2025-10-14 07:00:00,False,False,2,True,False,,0,0,Past deadline (urgent) | Unlimited parallel window,6300,60,0,0
ZR250460-001-6,ZR250460-001,6,3,k.D.,0,000-0002,2026-02-24 10:45:00,2026-03-10 10:45:00,7000,2025-11-28 11:53:00,False,False,2,True,False,,0,0,Past deadline (urgent) | Unlimited parallel window,4200,60,0,0
ZR250460-002-6,ZR250460-002,6,3,k.D.,0,000-0002,2026-02-24 10:45:00,2026-03-10 10:45:00,7000,2025-11-28 11:43:00,False,False,2,True,False,,0,0,Past deadline (urgent) | Unlimited parallel window,4200,60,0,0
ZR250536-001-5,ZR250536-001,5,3,k.D.,0,000-0002,2026-02-26 08:35:00,2026-03-13 11:35:00,8000,2025-12-17 07:30:00,False,False,2,True,False,,0,0,Past deadline (urgent) | Unlimited parallel window,4800,60,0,0
0121114-2,0121114,2,5,k.D.,0,000-0003,2025-11-14 07:00:00,2025-11-20 13:47:00,3478,2025-08-27 07:00:00,False,False,2,True,False,,0,0,Past deadline (urgent) | Unlimited parallel window,2087,60,0,0
0074106-6,0074106,6,3,k.D.,0,000-0003,2025-11-14 07:00:00,2025-11-20 14:00:00,3500,2025-10-02 11:31:00,False,False,2,True,False,,0,0,Past deadline (urgent) | Unlimited parallel window,2100,60,0,0
0029979-6,0029979,6,3,k.D.,0,000-0003,2025-11-14 07:00:00,2025-11-20 14:00:00,3500,2025-05-06 07:00:00,False,False,2,True,False,,0,0,Past deadline (urgent) | Unlimited parallel window,2100,60,0,0
0110984-6,0110984,6,3,k.D.,0,000-0003,2025-12-10 07:00:00,2025-12-16 14:00:00,3500,2025-11-14 10:01:00,False,False,2,True,False,,0,0,Past deadline (urgent) | Unlimited parallel window,2100,60,0,0
PL250026-009-2,PL250026-009,2,4,k.D.,999,413-01,2025-11-14 06:00:00,2025-11-14 06:30:00,50,2025-11-17 07:54:00,True,True,2,True,False,,17,10,Has deadline on 17-11-2025 07:54 | Unlimited parallel window,30,60,0,0
0222031-2,0222031,2,3,k.D.,0,413-01,2025-11-17 06:00:00,2025-11-17 06:30:00,50,2025-11-05 10:05:00,False,False,2,True,False,,17,10,Past deadline (urgent) | Unlimited parallel window,30,60,0,0
PK200002-055-7,PK200002-055,7,3,k.D.,0,413-01,2025-11-19 06:00:00,2025-11-19 07:00:00,100,2025-11-21 07:50:00,True,True,2,True,False,,17,10,Upcoming deadline (<3 days) | Unlimited parallel window,60,60,0,0
0257636-2,0257636,2,3,k.D.,0,413-01,2025-11-26 06:00:00,2025-11-26 06:30:00,50,2025-11-27 10:05:00,True,True,2,True,False,,17,10,Upcoming deadline (<3 days) | Unlimited parallel window,30,60,0,0
PU250056-001-2,PU250056-001,2,3,k.D.,0,413-01,2025-11-26 08:07:00,2025-11-26 08:37:00,50,2025-12-02 10:05:00,True,True,2,True,False,,17,10,Has deadline on 02-12-2025 10:05 | Unlimited parallel window,30,60,0,0
PK200002-055-2,PK200002-055,2,3,k.D.,0,413-01,2025-12-02 06:00:00,2025-12-02 06:40:00,67,2025-12-04 09:40:00,True,True,2,True,False,,17,10,Upcoming deadline (<3 days) | Unlimited parallel window,40,60,0,0
PU250364-001-2,PU250364-001,2,3,k.D.,0,413-01,2025-12-02 06:00:00,2025-12-02 06:30:00,50,2025-11-25 10:05:00,False,False,2,True,False,,17,10,Past deadline (urgent) | Unlimited parallel window,30,60,0,0
PU250054-001-5,PU250054-001,5,3,k.D.,0,413-01,2025-12-19 06:00:00,2025-12-19 07:00:00,100,2025-09-25 09:35:00,False,False,2,True,False,,17,10,Past deadline (urgent) | Unlimited parallel window,60,60,0,0
0258878-2,0258878,2,3,k.D.,0,413-01,2026-03-10 06:00:00,2026-03-10 06:30:00,50,2025-11-21 08:03:00,False,False,2,True,False,,17,10,Past deadline (urgent) | Unlimited parallel window,30,60,0,0
0250128-6,0250128,6,3,k.D.,999,418-01,2025-11-14 06:00:00,2025-11-14 10:31:00,452,2025-11-10 08:25:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,271,60,0,0
FA061048-1,FA061048,1,3,k.D.,0,418-01,2025-11-14 10:00:00,2025-11-17 11:00:00,700,2025-03-10 08:00:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,420,60,0,0
V225061-002-10,V225061-002,10,3,k.D.,0,418-01,2025-11-17 06:00:00,2025-11-17 11:00:00,500,2025-11-07 11:35:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,300,60,0,0
0123853-2,0123853,2,3,k.D.,0,418-01,2025-11-18 08:40:00,2025-11-18 10:50:00,217,2025-11-20 06:50:00,True,True,2,True,False,,300,180,Upcoming deadline (<3 days) | Unlimited parallel window,130,60,0,0
0146308-2,0146308,2,3,k.D.,0,418-01,2025-11-19 06:00:00,2025-11-19 11:20:00,533,2025-10-16 10:49:00,False,False,2,True,False,,0,0,Past deadline (urgent) | Unlimited parallel window,320,60,0,0
0135091-2,0135091,2,3,k.D.,0,418-01,2025-11-19 06:00:00,2025-11-19 07:00:00,100,2025-10-15 06:01:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,60,60,0,0
0249141-1,0249141,1,3,k.D.,0,418-01,2025-11-20 06:00:00,2025-11-20 07:04:00,107,2025-11-25 08:14:00,True,True,2,True,False,,300,180,Has deadline on 25-11-2025 08:14 | Unlimited parallel window,64,60,0,0
0092809-2,0092809,2,4,k.D.,999,418-01,2025-11-21 06:00:00,2025-11-21 07:00:00,100,2025-12-04 09:32:00,True,True,2,True,False,,300,180,Has deadline on 04-12-2025 09:32 | Unlimited parallel window,60,60,0,0
0246224-1,0246224,1,3,k.D.,0,418-01,2025-12-08 06:00:00,2025-12-08 10:30:00,450,2025-11-26 08:07:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,270,60,0,0
0174606-3,0174606,3,3,k.D.,0,418-01,2025-12-18 06:00:00,2025-12-18 07:00:00,100,2025-11-07 06:46:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,60,60,0,0
0164595-2,0164595,2,3,k.D.,0,418-01,2025-12-22 06:00:00,2025-12-22 07:00:00,100,2025-11-25 09:34:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,60,60,0,0
0214799-1,0214799,1,3,k.D.,0,418-01,2026-01-07 08:38:00,2026-01-07 10:08:00,150,2025-10-07 10:20:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,90,60,0,0
0167157-11,0167157,11,3,k.D.,0,418-01,2026-01-12 11:13:00,2026-01-12 11:43:00,50,2025-10-22 07:15:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,30,60,0,0
0230496-1,0230496,1,3,k.D.,0,418-01,2026-01-14 10:18:00,2026-01-15 07:08:00,283,2025-10-30 07:49:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,170,60,0,0
0134907-2,0134907,2,3,k.D.,0,418-01,2026-04-21 06:00:00,2026-04-21 07:00:00,100,2025-11-13 07:30:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,60,60,0,0
0219587-3,0219587,3,3,k.D.,0,418-01,2026-05-29 06:00:00,2026-05-29 07:00:00,100,2026-01-15 07:30:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,60,60,0,0
0207043-2,0207043,2,3,k.D.,0,418-01,2026-05-29 06:00:00,2026-05-29 07:00:00,100,2026-01-14 07:30:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,60,60,0,0
0197451-2,0197451,2,3,k.D.,0,418-01,2026-06-11 06:00:00,2026-06-11 07:00:00,100,2026-01-15 07:15:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,60,60,0,0
0246817-2,0246817,2,3,k.D.,0,418-01,2026-06-18 06:00:00,2026-06-18 07:00:00,100,2026-01-15 06:24:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,60,60,0,0
0097491-2,0097491,2,3,k.D.,0,418-01,2026-06-18 06:00:00,2026-06-18 06:25:00,42,2025-12-04 10:03:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,25,60,0,0
0249180-1,0249180,1,3,k.D.,0,418-02,2025-12-05 06:00:00,2025-12-05 08:20:00,233,2025-11-06 06:40:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,140,60,0,0
0137491-1,0137491,1,3,k.D.,0,418-02,2025-12-16 08:59:00,2025-12-16 09:27:00,47,2025-10-09 10:15:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,28,60,0,0
0224273-2,0224273,2,3,k.D.,0,418-02,2026-01-13 10:28:00,2026-01-13 10:58:00,50,2025-11-03 09:57:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,30,60,0,0
0222720-1,0222720,1,3,k.D.,0,418-02,2026-02-11 06:00:00,2026-02-11 06:28:00,47,2025-09-08 11:28:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,28,60,0,0
V225061-001-13,V225061-001,13,3,k.D.,0,418-03,2025-11-17 06:00:00,2025-11-17 11:00:00,500,2025-11-05 12:35:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,300,60,0,0
0201999-7,0201999,7,3,k.D.,0,418-03,2025-11-26 06:00:00,2025-11-27 11:00:00,1100,2025-12-12 09:31:00,True,True,2,True,False,,0,0,Has deadline on 12-12-2025 09:31 | Unlimited parallel window,660,60,0,0
0241064-8,0241064,8,3,k.D.,0,418-03,2025-11-26 06:00:00,2025-11-26 08:35:00,258,2025-11-18 06:25:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,155,60,0,0
0201999-6,0201999,6,3,k.D.,0,418-03,2025-11-27 11:00:00,2025-11-28 07:00:00,200,2025-12-15 06:16:00,True,True,2,True,False,,300,180,Has deadline on 15-12-2025 06:16 | Continuation (no buffer),120,60,0,0
0250085-8,0250085,8,3,k.D.,0,418-03,2025-11-27 11:20:00,2025-11-28 07:55:00,258,2025-11-11 09:40:00,False,False,2,True,False,,0,0,Past deadline (urgent) | Unlimited parallel window,155,60,0,0
V225061-002-2,V225061-002,2,3,k.D.,0,418-03,2025-12-02 08:35:00,2025-12-02 09:35:00,100,2025-11-13 08:00:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,60,60,0,0
V225061-001-2,V225061-001,2,3,k.D.,0,418-03,2025-12-03 06:00:00,2025-12-03 07:00:00,100,2025-11-13 08:00:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,60,60,0,0
V225063-001-3,V225063-001,3,3,k.D.,0,418-03,2025-12-03 10:00:00,2025-12-03 10:50:00,83,2025-12-12 07:00:00,True,True,2,True,False,,300,180,Has deadline on 12-12-2025 07:00 | Unlimited parallel window,50,60,0,0
0182131-1,0182131,1,4,k.D.,0,418-03,2025-12-11 06:00:00,2025-12-11 06:30:00,50,2025-10-29 06:00:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,30,60,0,0
0201900-1,0201900,1,3,k.D.,0,418-03,2025-12-17 06:00:00,2025-12-17 07:30:00,150,2025-10-01 07:30:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,90,60,0,0
0237055-2,0237055,2,3,k.D.,0,418-03,2026-01-08 10:14:00,2026-01-08 11:49:00,158,2025-11-07 09:20:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,95,60,0,0
0077172-11,0077172,11,4,k.D.,999,418-04,2025-11-14 06:00:00,2025-11-14 06:52:00,87,2025-09-30 06:58:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,52,60,0,0
FA061089-1,FA061089,1,4,k.D.,999,418-04,2025-11-14 06:00:00,2025-11-14 06:12:00,20,2025-05-08 08:40:00,False,False,2,True,False,,0,0,Past deadline (urgent) | Unlimited parallel window,12,60,0,0
0063319-1,0063319,1,4,k.D.,999,418-04,2025-11-14 06:00:00,2025-11-14 06:15:00,25,2025-04-03 08:45:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,15,60,0,0
0126530-17,0126530,17,3,k.D.,0,418-04,2025-11-17 06:00:00,2025-11-17 07:14:00,123,2025-11-10 06:48:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,74,60,0,0
0231689-1,0231689,1,3,k.D.,0,418-04,2025-11-25 06:00:00,2025-11-25 06:15:00,25,2025-11-11 07:20:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,15,60,0,0
0231686-1,0231686,1,3,k.D.,0,418-04,2025-11-25 06:00:00,2025-11-25 06:15:00,25,2025-11-11 07:20:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,15,60,0,0
FA061174-1,FA061174,1,3,k.D.,0,418-04,2025-11-27 10:50:00,2025-11-27 11:24:00,57,2025-12-17 10:06:00,True,True,2,True,False,,0,0,Has deadline on 17-12-2025 10:06 | Unlimited parallel window,34,60,0,0
FA061152-1,FA061152,1,3,k.D.,0,418-04,2026-01-12 06:00:00,2026-01-12 06:20:00,33,2025-10-30 10:07:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,20,60,0,0
ZR250666-002-2,ZR250666-002,2,3,k.D.,0,418-05,2025-11-14 07:00:00,2025-11-14 08:20:00,133,2025-11-13 13:35:00,False,True,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,80,60,0,0
0236382-5,0236382,5,3,k.D.,0,418-05,2025-12-12 10:30:00,2025-12-12 11:10:00,67,2025-11-05 12:35:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,40,60,0,0
0208693-1,0208693,1,3,k.D.,0,431-01,2025-11-14 07:00:00,2025-11-14 07:30:00,50,2025-12-02 10:45:00,True,True,2,True,False,,300,180,Has deadline on 02-12-2025 10:45 | Unlimited parallel window,30,60,0,0
V225063-001-15,V225063-001,15,3,k.D.,0,431-01,2025-11-14 07:00:00,2025-11-14 08:00:00,100,2025-12-09 13:20:00,True,True,2,True,False,,300,180,Has deadline on 09-12-2025 13:20 | Unlimited parallel window,60,60,0,0
0029844-2,0029844,2,4,k.D.,8,431-01,2025-11-14 07:00:00,2025-11-14 07:00:00,0,2025-11-06 14:15:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,0,60,0,0
0204335-2,0204335,2,4,k.D.,7,431-01,2025-11-14 07:00:00,2025-11-14 07:00:00,0,2025-10-31 14:18:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,0,60,0,0
0094379-4,0094379,4,4,k.D.,6,431-01,2025-11-14 07:00:00,2025-11-14 07:00:00,0,2025-10-29 13:15:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,0,60,0,0
0192189-2,0192189,2,4,k.D.,5,431-01,2025-11-14 07:00:00,2025-11-14 07:15:00,25,2025-10-23 14:32:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,15,60,0,0
0164595-11,0164595,11,4,k.D.,4,431-01,2025-11-14 07:00:00,2025-11-14 07:15:00,25,2025-10-16 11:00:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,15,60,0,0
0134907-13,0134907,13,4,k.D.,3,431-01,2025-11-14 07:00:00,2025-11-14 07:00:00,0,2025-09-25 14:15:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,0,60,0,0
V225033-001-1,V225033-001,1,4,k.D.,2,431-01,2025-11-14 07:00:00,2025-11-14 08:00:00,100,2025-09-17 10:20:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,60,60,0,0
0135107-1,0135107,1,4,k.D.,1,431-01,2025-11-14 07:00:00,2025-11-14 07:00:00,0,2025-09-05 07:00:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,0,60,0,0
FA061048-3,FA061048,3,4,k.D.,16,431-01,2025-11-14 07:00:00,2025-11-14 07:00:00,0,2025-03-10 07:30:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,0,60,0,0
0093153-2,0093153,2,3,k.D.,0,431-01,2025-11-14 10:00:00,2025-11-14 10:30:00,50,2025-05-14 13:55:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,30,60,0,0
0085252-1,0085252,1,3,k.D.,0,431-01,2025-11-27 10:40:00,2025-11-27 11:10:00,50,2025-11-20 08:56:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,30,60,0,0
0209662-2,0209662,2,3,k.D.,0,431-01,2025-11-28 07:00:00,2025-11-28 07:30:00,50,2026-01-09 10:45:00,True,True,2,True,False,,300,180,Has deadline on 09-01-2026 10:45 | Unlimited parallel window,30,60,0,0
0191809-1,0191809,1,3,k.D.,0,431-01,2025-11-28 07:00:00,2025-11-28 07:30:00,50,2025-11-10 11:54:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,30,60,0,0
ZR210563-001-1,ZR210563-001,1,4,k.D.,999,431-01,2025-11-28 07:00:00,2025-11-28 07:10:00,17,,,,2,True,False,,300,180,No deadline (priority/fit) | Unlimited parallel window,10,60,0,0
0251688-3,0251688,3,3,k.D.,0,431-01,2025-11-28 08:40:00,2025-11-28 09:10:00,50,2025-12-02 08:28:00,True,True,2,True,False,,300,180,Has deadline on 02-12-2025 08:28 | Unlimited parallel window,30,60,0,0
0249208-2,0249208,2,3,k.D.,0,431-01,2025-12-01 10:00:00,2025-12-01 10:30:00,50,2025-12-05 10:45:00,True,True,2,True,False,,300,180,Has deadline on 05-12-2025 10:45 | Unlimited parallel window,30,60,0,0
ZZ250034-002-3,ZZ250034-002,3,3,k.D.,0,431-01,2025-12-01 10:30:00,2025-12-01 10:50:00,33,2025-11-03 13:30:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,20,60,0,0
ZR250538-001-11,ZR250538-001,11,3,k.D.,0,431-01,2025-12-02 07:00:00,2025-12-02 07:30:00,50,2025-12-02 10:45:00,True,True,2,True,False,,300,180,Imminent deadline (<1 day) | Unlimited parallel window,30,60,0,0
0244872-2,0244872,2,3,k.D.,0,431-01,2025-12-02 09:20:00,2025-12-02 09:40:00,33,2026-01-08 10:55:00,True,True,2,True,False,,300,180,Has deadline on 08-01-2026 10:55 | Unlimited parallel window,20,60,0,0
